Plante	Date_de_germination	Cotyledons	Taille_Dec_05	Taille_Fev_06	Taille_Mars_06	Taille_Juin_06	Taille_Sept_06	traitement	PAR	reference	espece	pop
693			0	0	0		0	temoin	100	100	mac	nav
694	17/10/2005	10.32	89.755	94.19	78.245	75	0	temoin	100	100	mac	nav
695			0	0	0		0	temoin	100	100	mac	nav
696			0	0	0		0	temoin	100	100	mac	nav
697			0	0	0		0	temoin	100	100	mac	nav
698			0	0	0		0	temoin	100	100	mac	nav
699			0	0	0		0	temoin	100	100	mac	nav
700	17/10/2005	12.76	43.35	51.89	56.6	70	100	temoin	100	100	mac	nav
701	17/10/2005	10.7	70.61	53.04	62.485	65	110	temoin	100	100	cor	E1
702	17/10/2005	8.48	66.42	59.155	68.205	55	0	temoin	100	100	cor	E1
703	17/10/2005	11.55	53.105	74.455	73.49	85	100	temoin	100	100	cor	E1
704	17/10/2005	9.7	46.1	59.525	62.24	60	75	temoin	100	100	cor	E1
705	17/10/2005	13.34	82.45	73.43	77.255	80	90	temoin	100	100	cor	E1
706			0	0	0		0	temoin	100	100	cor	E1
707	17/10/2005	10	0	0	0		0	temoin	100	100	cor	E1
708			0	0	0		0	temoin	100	100	cor	E1
709	17/10/2005	7.71	68.44	70.245	79.185	95	90	temoin	100	100	cor	E1
710	15/03/2006	7.98	0	0	7.98	35	75	temoin	100	100	cor	E1
711	17/10/2005	11.05	55.03	69.515	61.555	65	90	temoin	100	100	cor	E1
712	17/10/2005	11.93	0	0	0	30	85	temoin	100	100	cor	E1
713	17/10/2005	12.52	57.43	50.515	55.925	50	80	temoin	100	100	cor	E1
714	17/10/2005	7.88	23.93	30.56	51.085	55	100	temoin	100	100	cor	E1
715	17/10/2005	11.28	0	0	0		0	temoin	100	100	cor	E1
716	17/10/2005	6.01	0	0	0		0	temoin	100	100	cor	E1
717	17/10/2005	11.19	61.72	58.84	61.295	65	0	temoin	100	100	cor	E1
718	24/10/2005	6.4	0	0	20.9	30	0	temoin	100	100	cor	E1
719	15/03/2006	8.27	60.92	64.73	60.95	60	0	temoin	100	100	cor	E1
720	15/03/2006	8.12	0	0	8.12	35	95	temoin	100	100	cor	E1
721	17/10/2005	10.66	61.795	67	72.16	65	80	temoin	100	100	cor	E1
722	17/10/2005	9.77	0	0	9	35	105	temoin	100	100	cor	E1
723			0	0	0		0	temoin	100	100	cor	E1
724	24/10/2005	10.31	39.135	53.855	64.045	75	100	temoin	100	100	cor	E1
725	17/10/2005	14.28	51.855	64.65	68.95	75	110	temoin	100	100	cor	E1
726	17/10/2005	4.42	48.215	50.245	67.195	65	100	temoin	100	100	cor	E1
727			0	0	0		0	temoin	100	100	cor	E1
728	17/10/2005	10.07	0	0	0		0	temoin	100	100	cor	E1
729	17/10/2005	16.02	56.55	73.18	82.605	10	100	temoin	100	100	cor	E1
730	17/10/2005	11.98	76.915	70.51	82.97	85	95	temoin	100	100	cor	E1
731	17/10/2005	8.95	0	0	0		0	temoin	100	100	cor	E1
732	17/10/2005	8.41	59.045	56.53	60.94	65	80	temoin	100	100	cor	E1
733	24/10/2005	23.15	79.115	76.48	72.365	60	90	temoin	100	100	cor	E1
734	17/10/2005	11.25	45.135	38.97	61.28	75	100	temoin	100	100	cor	E1
735	17/10/2005	2.29	41.07	48.37	53.335	50	80	temoin	100	100	cor	E1
736	17/10/2005	3.05	0	0	0		0	temoin	100	100	cor	E1
737	15/03/2006	11.67	0	0	11.67	35	100	temoin	100	100	cor	E1
738	17/10/2005	9.19	69.295	71	71.56	70	75	temoin	100	100	cor	E1
739	17/10/2005	7.8	62.345	71.79	65.01	65	80	temoin	100	100	cor	E1
740	17/10/2005	12.72	39.26	56.76	68.67	60	0	temoin	100	100	cor	E1
741	17/10/2005	14.69	22.29	28.38	53.38	85	110	temoin	100	100	cor	E1
742	17/10/2005	1.41	72.875	65.01	74.865	85	110	temoin	100	100	cor	E1
743	17/10/2005	14.64	75.53	70.98	82.68	70	75	temoin	100	100	cor	E1
744	17/10/2005	13.34	63.615	67.43	75.96	65	95	temoin	100	100	cor	E1
745	17/10/2005	7.58	46.21	51.165	54.32	65	90	temoin	100	100	cor	E1
746			0	0	0		0	temoin	100	100	cor	E1
747	15/03/2006	5	0	0	5	40	110	temoin	100	100	cor	E1
748	29/03/2006	15.7	0	0	0	15	85	temoin	100	100	cor	E1
749			0	0	0		0	temoin	100	100	cor	E1
750			0	0	0		0	temoin	100	100	cor	E1
751	17/10/2005	11.81	55.735	62.71	62.715	90	110	temoin	100	100	cor	E2
752	17/10/2005	12.34	51.07	63.1	69.29	85	115	temoin	100	100	cor	E2
753			0	0	0		0	temoin	100	100	cor	E2
754			0	0	0		0	temoin	100	100	cor	E2
755			0	0	0		0	temoin	100	100	cor	E2
756	24/10/2005	17.95	68.12	63.475	65.435	55	105	temoin	100	100	cor	E2
757	17/10/2005	7.6	0	0	0		0	temoin	100	100	cor	E2
758	17/10/2005	12.58	82.49	77.29	81.515	85	120	temoin	100	100	cor	E2
759	17/10/2005	9.51	55.1	81.365	86.55	80	115	temoin	100	100	cor	E2
760	17/10/2005	13.02	75.74	78.15	84.86	60	95	temoin	100	100	cor	E2
761			0	0	0		0	temoin	100	100	cor	E2
762	17/10/2005	7.56	0	0	0		0	temoin	100	100	cor	E2
763	17/10/2005	10.5	46.975	62.81	69.475	60	80	temoin	100	100	cor	E2
764	17/10/2005	13.07	47.725	68	71.475	75	140	temoin	100	100	cor	E2
765	17/10/2005	15.29	75.41	85.18	88.82	65	80	temoin	100	100	cor	E2
766	17/10/2005	14.04	77.36	77.915	81.77	65	90	temoin	100	100	cor	E2
767	17/10/2005	10.76	41.185	55.2	62.515	80	95	temoin	100	100	cor	E2
768	17/10/2005	12.48	90.82	87.06	86.835	70	95	temoin	100	100	cor	E2
769			0	0	0		0	temoin	100	100	cor	E2
770			0	0	0		0	temoin	100	100	cor	E2
771			0	0	0		0	temoin	100	100	cor	E2
772	17/10/2005	3.73	0	0	0		0	temoin	100	100	cor	E2
773	17/10/2005	15.89	79.335	72.09	65.735	65	95	temoin	100	100	cor	E2
774			0	0	0		0	temoin	100	100	cor	E2
775			0	0	0		0	temoin	100	100	cor	E2
776			0	0	0		0	temoin	100	100	cor	E2
777			0	0	0		0	temoin	100	100	cor	E2
778	17/10/2005	13.56	86.375	71.39	79.55	70	95	temoin	100	100	cor	E2
779	17/10/2005	10.97	92.515	73.57	82.815	80	100	temoin	100	100	cor	E2
780	17/10/2005	13.56	80.88	73.395	68.81	75	100	temoin	100	100	cor	E2
781	17/10/2005	8.49	72.39	67.535	80.11	75	0	temoin	100	100	cor	E2
782			0	0	0		0	temoin	100	100	cor	E2
783	17/10/2005	13.92	67.66	61.55	71.71	65	0	temoin	100	100	cor	E2
784	17/10/2005	4.83	53.08	67.645	77.045	75	100	temoin	100	100	cor	E2
785	17/10/2005	7.44	0	0	0		0	temoin	100	100	cor	E2
786	17/10/2005	13.53	54.44	54.84	63.33	85	95	temoin	100	100	cor	E2
787	17/10/2005	5.84	83.515	88.99	92.85	75	95	temoin	100	100	cor	E2
788			0	0	0		0	temoin	100	100	cor	E2
789	17/10/2005	9.78	78.265	85.22	88.51	80	0	temoin	100	100	cor	E2
790	17/10/2005	13.29	61.21	46.2	58.745	65	110	temoin	100	100	cor	E2
791	17/10/2005	12.96	85.335	86.775	85.985	75	100	temoin	100	100	cor	E2
792	17/10/2005	10.5	86.585	63.63	87.865	75	105	temoin	100	100	cor	E2
793	24/10/2005	12.37	40.095	57.985	71.355	80	80	temoin	100	100	cor	E2
794	17/10/2005	10.21	55.455	75.525	75.36	75	90	temoin	100	100	cor	E2
795	17/10/2005	3.65	60.86	63	84.72	75	100	temoin	100	100	cor	E2
796	17/10/2005	11.61	71.15	75.415	78.49	70	0	temoin	100	100	cor	E2
797	17/10/2005	2.01	19.135	33.45	42.555	40	0	temoin	100	100	cor	E2
798			0	0	0		0	temoin	100	100	cor	E2
799	17/10/2005	12.02	72.47	80.78	79.845	50	80	temoin	100	100	cor	E2
800	17/10/2005	7.7	0	0	0		0	temoin	100	100	cor	E2
